NodeName,OAGName,Name,City,Lon,Lat
WRO,Wroclaw Poland,Strachowice Airport,Wroclaw,16.9,51.1
WUH,Wuhan China,Wuhan Airport,Wuhan,114.21,30.78
WUS,Wuyishan China,Fujian Province Airport,Wuyishan,117.97,27.72
WUX,Wuxi China,Wuxi Airport,Wuxi,120.42,31.49
WUZ,Wuzhou China,Changzhoudao Airport,Wuzhou,111.25,23.46
WXN,Wanxian China,Wanxian Airport,Wanxian,108.43,30.8
XAP,Chapeco SC Brazil,Chapeco Airport,Chapeco,-52.63,-27.09
XBJ,Birjand Iran,Birjand Airport,Birjand,59.25,32.9
XFN,Xiangfan China,Xiangfan Airport,Xiangfan,112.29,32.15
XIC,Xichang China,Xichang Airport,Xichang,102.19,27.98
XIL,Xilinhot China,Xilinhot Airport,Xilinhot,115.96,43.92
XIY,Xi An(Xianyang) China,Xianyang Airport,Xian,108.76,34.44
XMN,Xiamen China,Xiamen Airport,Xiamen,118.13,24.54
XNN,Xining China,Xining Airport,Xining,102.04,36.53
XRY,Jerez De La Frontera Spain,La Parra Airport,Jerez De La Frontera,-6.06,36.75
XUZ,Xuzhou China,Xuzhou Airport,Xuzhou,117.55,34.05
YBP,Yibin China,Yibin Airport,Yibin,104.54,28.8
YCU,Yun Cheng China,Zhangxiao,Yuncheng,110.99,35.02
YEG,Edmonton(Intl) AB Canada,Edmonton International Airport,Edmonton,-113.58,53.31
YES,Yasouj Iran,Yasouj Airport,Yasouj,51.55,30.7
YGJ,Yonago Japan,Miho Airport,Yonago,133.24,35.5
YGK,Kingston ON Canada,Kingston Airport,Kingston,-76.59,44.22
YHM,Hamilton(Munro Intl) ON Canada,Hamilton Airport,Hamilton,-79.93,43.16
YHU,Montreal(St.Hubert) QC Canada,St. Hubert Airport,Montreal,-73.6,45.5
YHZ,Halifax(Intl) NS Canada,Halifax International Airport,Halifax,-63.51,44.88
YIH,Yichang China,Yichang Airport,Yichang,111.48,30.55
YIN,Yining China,Yining Airport,Yining,81.33,43.95
YIW,Yiwu China,Yiwu Airport,Yiwu,120.03,29.34
YKF,Kitchener/Waterloo ON Canada,Kitchener-Waterloo Regional Airport,Kitchener,-80.48,43.45
YKS,Yakutsk Russian Fed.,Yakutsk Airport,Yakutsk,129.75,62.09
YLH,Lansdowne House ON Canada,Lansdowne House Airport,Lansdowne House,-87.93,52.18
YLW,Kelowna BC Canada,Kelowna Airport,Kelowna,-119.38,49.95
